trial_id,looming_start_frame,looming_start_time,bhvr1,bhvr2,bhvr3,bhvr4,bhvr5
G2M2D4T2,17237,"2, 0:14:20.850168",,,,,
G2M2D4T3,19545,"3, 0:16:16.183135",,,,,
G2M2D4T4,20998,"4, 0:17:28.865846",,,,,
G2M2D4T5,25795,"5, 0:21:28.729651",,,,,
G2M2D4T6,28761,"6, 0:23:57.025593",,,,,
G2M2D4T7,30776,"7, 0:25:37.738559",,,,,
G2M2D4T8,33372,"8, 0:27:47.526569",,,,,
G2M2D4T9,41658,"9, 0:34:41.797668",,,,,
G2M2D4T10,45611,"10, 0:37:59.457910",,,,,
G2M2D4T11,47157,"11, 0:39:16.784860",,,,,
G2M2D5T1,12653,"1, 0:10:30.431251",,,,,
G2M2D5T2,15152,"2, 0:12:35.382619",,,,,
G2M2D5T3,16799,"3, 0:13:57.751048",,,,,
G2M2D5T4,18809,"4, 0:15:38.231597",,,,,
G2M2D5T5,20804,"5, 0:17:17.965034",,,,,
G2M2D5T6,23476,"6, 0:19:31.563990",,,,,
G2M2D5T7,26785,"7, 0:22:16.998546",,,,,
G2M2D5T8,29862,"8, 0:24:50.848648",,,,,
G2M2D5T9,41038,"9, 0:34:09.596886",,,,,
G2M2D5T10,43428,"10, 0:36:09.131498",,,,,
G2M2D5T11,46038,"11, 0:38:19.597552",,,,,
G2M3D1T1,12121,"1, 0:10:03.632598",,,,,
G2M3D1T2,13677,"2, 0:11:21.449456",,,,,
G2M3D1T3,15795,"3, 0:13:07.329074",,,,,
G2M3D1T4,18371,"4, 0:15:16.131076",,,,,
G2M3D1T5,20187,"5, 0:16:46.899827",,,,,
G2M3D1T6,21967,"6, 0:18:15.908673",,,,,
G2M3D1T7,25386,"7, 0:21:06.827083",,,,,
G2M3D1T8,32691,"8, 0:27:12.068408",,,,,
G2M3D1T9,34789,"9, 0:28:56.955428",,,,,
G2M3D1T10,37237,"10, 0:30:59.328746",,,,,
G2M3D1T11,39827,"11, 0:33:08.856462",,,,,
G2M3D1T12,41598,"12, 0:34:37.372067",,,,,
G2M3D1T13,43590,"13, 0:36:17.041585",,,,,
G2M3D1T14,47490,"14, 0:39:31.990018",,,,,
G2M3D2T1,14741,"1, 0:12:16.193594",,,,,
G2M3D2T2,22617,"2, 0:18:50.013435",,,,,
G2M3D2T3,26247,"3, 0:21:51.478350",,,,,
G2M3D2T4,30862,"4, 0:25:42.206146",,,,,
G2M3D3T1,13451,"1, 0:11:11.093763",,,,,
G2M3D3T2,17414,"2, 0:14:29.257140",,,,,
G2M3D3T3,20497,"3, 0:17:03.389902",,,,,
G2M3D3T4,24488,"4, 0:20:22.926937",,,,,
G2M3D3T5,31943,"5, 0:26:35.660060",,,,,
G2M3D3T6,35070,"6, 0:29:12.035596",,,,,
G2M3D4T1,12511,"1, 0:10:24.735061",,,,,
G2M3D4T2,16211,"2, 0:13:29.727513",,,,,
G2M3D4T3,19451,"3, 0:16:11.728198",,,,,
G2M3D4T4,24650,"4, 0:20:31.653265",,,,,
G2M3D4T5,27279,"5, 0:22:43.110916",,,,,
G2M3D4T6,40980,"6, 0:34:08.102598",,,,,
G2M3D5T1,14127,"1, 0:11:45.186585",,,,,
G2M3D5T2,20089,"2, 0:16:43.269993",,,,,
G2M3D5T3,28456,"3, 0:23:41.634932",,,,,
G2M3D5T4,31952,"4, 0:26:36.425989",,,,,
G2M3D5T5,44900,"5, 0:37:23.752565",,,,,
G2M4D1T1,13683,"1, 0:11:21.811359",,,,,
G2M4D1T2,21199,"2, 0:17:37.604936",,,,,
G2M4D1T3,24390,"3, 0:20:17.104787",,,,,
G2M4D1T4,26685,"4, 0:22:11.896091",,,,,
G2M4D1T5,30957,"5, 0:25:45.446862",,,,,
G2M4D1T6,33322,"6, 0:27:43.734954",,,,,
G2M4D1T7,35596,"7, 0:29:37.435636",,,,,
G2M4D2T1,13377,"1, 0:11:07.816006",,,,,
G2M4D2T2,20860,"2, 0:17:21.946229",,,,,
G2M4D2T3,34367,"3, 0:28:37.311905",,,,,
G2M4D2T4,40860,"4, 0:34:01.931461",,,,,
G2M4D2T5,43997,"5, 0:36:38.767565",,,,,
G2M4D3T1,15229,"1, 0:12:40.220212",,,,,
G2M4D3T2,19278,"2, 0:16:02.653381",,,,,
G2M4D3T3,34034,"3, 0:28:20.452893",,,,,
G2M4D3T4,38014,"4, 0:31:39.439134",,,,,
G2M4D4T1,12626,"1, 0:10:30.471150",,,,,
G2M4D4T2,15210,"2, 0:12:39.664866",,,,,
G2M4D4T3,20358,"3, 0:16:57.048096",,,,,
G2M4D4T4,23095,"4, 0:19:13.872297",,,,,
G2M4D4T5,25841,"5, 0:21:31.191099",,,,,
G2M4D4T6,33998,"6, 0:28:19.018045",,,,,
G2M4D5T1,12532,"1, 0:10:24.045375",,,,,
G2M4D5T2,28619,"2, 0:23:48.342871",,,,,
G2M4D5T3,33144,"3, 0:27:34.577780",,,,,
G2M4D5T4,37941,"4, 0:31:34.392167",,,,,
G2M5D1T1,12466,"1, 0:10:22.143283",,,,,
G2M5D1T2,15110,"2, 0:12:34.327012",,,,,
G2M5D1T3,17472,"3, 0:14:32.460946",,,,,
G2M5D1T4,23155,"4, 0:19:16.560495",,,,,
G2M5D1T5,24951,"5, 0:20:46.359395",,,,,
G2M5D1T6,27977,"6, 0:23:17.692424",,,,,
G2M5D1T7,38837,"7, 0:32:20.625733",,,,,
G2M5D1T8,43295,"8, 0:36:03.542862",,,,,
G2M5D1T9,46407,"9, 0:38:39.110162",,,,,
G2M5D2T1,16872,"1, 0:14:01.222413",,,,,
G2M5D2T2,23470,"2, 0:19:31.122932",,,,,
G2M5D2T3,29676,"3, 0:24:41.372457",,,,,
G2M5D2T4,35746,"4, 0:29:44.864445",,,,,
G2M5D2T5,46082,"5, 0:38:21.639214",,,,,
G2M5D3T1,14050,"1, 0:11:41.605173",,,,,
G2M5D3T2,16964,"2, 0:14:07.314828",,,,,
G2M5D3T3,20999,"3, 0:17:29.042673",,,,,
G2M5D3T4,31478,"4, 0:26:12.970572",,,,,
G2M5D3T5,40199,"5, 0:33:28.972713",,,,,
G2M5D4T1,12264,"1, 0:10:12.108377",,,,,
G2M5D4T2,15376,"2, 0:12:47.704441",,,,,
G2M5D4T3,17619,"3, 0:14:39.864945",,,,,
G2M5D4T4,24071,"4, 0:20:02.462985",,,,,
G2M5D4T5,25950,"5, 0:21:36.405417",,,,,
G2M5D4T6,31652,"6, 0:26:21.494553",,,,,
G2M5D4T7,33576,"7, 0:27:57.655893",,,,,
G2M5D4T8,46845,"8, 0:39:01.081105",,,,,
G2M5D5T1,14096,"1, 0:11:43.429222",,,,,
G2M5D5T2,16231,"2, 0:13:30.177812",,,,,
G2M5D5T3,24689,"3, 0:20:33.025654",,,,,
G2M5D5T4,27389,"4, 0:22:48.018589",,,,,
G2M5D5T5,32028,"5, 0:26:39.992832",,,,,
G2M5D5T6,38428,"6, 0:31:59.944016",,,,,
